wavelength,B1 (380 nm),wavelength,B2 (412 nm),wavelength,B3 (443 nm),wavelength,B4 (490 nm),wavelength,B5 (510 nm),wavelength,B6 (555 nm),wavelength,B7 (620 nm),wavelength,B8 (660 nm),wavelength,B9 (680 nm),wavelength,B10 (709 nm),wavelength,B11 (745 nm),wavelength,B12 (865 nm)
350,0,380,0,410,0,460,0,480,0,520,0,590,0,630,0,650,0,680,0,710,0,820,0
351,0,381,0,411,0,461,0,481,0,521,0,591,0,631,0,651,0,681,0,711,0,821,0
352,0,382,0,412,0,462,0,482,0,522,0,592,0,632,0,652,0,682,0,712,0,822,0
353,0,383,0,413,0,463,0,483,0,523,0,593,0,633,0,653,0,683,0,713,0,823,0
354,0,384,0,414,0,464,0,484,0,524,0,594,0,634,0,654,0,684,0,714,0,824,0
355,0,385,0,415,0,465,0,485,0,525,0,595,0,635,0,655,0,685,0,715,0,825,0
356,0,386,0,416,0,466,0,486,0,526,0,596,0,636,0,656,0,686,0,716,0,826,0
357,0,387,0,417,0,467,0,487,0,527,0,597,0,637,0,657,0,687,0,717,0,827,0
358,0,388,0,418,0,468,0,488,0,528,0,598,0,638,0,658,0,688,0,718,0,828,0
359,0.0161,389,0,419,0,469,1.00E-05,489,0.000000106,529,0,599,0,639,0,659,0,689,0,719,0,829,0
360,0.032866482,390,0,420,0,470,7.01E-05,490,0.000000706,530,0,600,0,640,0,660,0,690,0,720,0,830,0
361,0.017058935,391,0,421,0,471,0.000130095,491,0.000078706,531,0,601,0,641,0,661,0,691,0,721,0,831,0
362,0,392,0,422,0,472,0.000190139,492,0.000140305,532,0,602,0.000739671,642,0.0003331,662,0,692,0,722,0,832,8.90E-05
363,0.011172401,393,0.00002998,423,0,473,0.000240184,493,0.000065305,533,0,603,0.000899808,643,0.003402184,663,0,693,0,723,0,833,0.000168332
364,0,394,0.002243477,424,0.00025,474,0.000460348,494,0.0001971,534,0,604,0.005178454,644,0.003091647,664,0,694,0,724,0,834,0.000220035
365,0,395,0.000158233,425,0.0000401,475,0.003242457,495,0.001152151,535,0,605,0.02551315,645,0.008263282,665,0,695,0,725,0,835,0.00026529
366,0,396,0.002924234,426,0.0001,476,0.029752629,496,0.001372151,536,0,606,0.057510571,646,0.012747521,666,0,696,0,726,0,836,0.000284042
367,0,397,0.003374564,427,0.000482816,477,0.089738939,497,0.004127653,537,0,607,0.109869348,647,0.033607468,667,0,697,0,727,0,837,0.000230032
368,0.107148935,398,0.003595107,428,0.000932816,478,0.126916926,498,0.022735598,538,0,608,0.22902636,648,0.084256761,668,0,698,0,728,0,838,0.000178022
369,0.296543,399,0.014866844,429,0.001392816,479,0.167378481,499,0.13788398,539,0,609,0.399087518,649,0.23078026,669,0,699,0.00008,729,0.000245175,839,0.000110014
370,0.405819359,400,0.035623667,430,0.001856382,480,0.276582568,500,0.412423605,540,0,610,0.503663644,650,0.495781211,670,0,700,0.00022,730,0.001358483,840,9.00E-06
371,0.593658961,401,0.130320998,431,0.002767733,481,0.486643356,501,0.707745717,541,0.003565312,611,0.568935414,651,0.786146126,671,0.0003,701,0.010756982,731,0.003704693,841,0.001300177
372,0.689400805,402,0.36636136,432,0.026516733,482,0.720904296,502,0.813269512,542,0.018439492,612,0.659555964,652,0.924445423,672,0.003518189,702,0.042315453,732,0.007181732,842,0.005590957
373,0.776930193,403,0.749766638,433,0.186035774,483,0.862944387,503,0.839385833,543,0.051022339,613,0.805932905,653,0.937069921,673,0.032042814,703,0.166079651,733,0.029891475,843,0.025314033
374,0.881598574,404,0.855377185,434,0.63059362,484,0.901223782,504,0.872314097,544,0.180443094,614,0.929539031,654,0.941934561,674,0.156955827,704,0.458056419,734,0.102768568,844,0.088293389
375,0.879386119,405,0.843647654,435,0.878395198,485,0.907068282,505,0.905872658,545,0.451837828,615,0.97445944,655,0.968190642,675,0.440257845,705,0.786706319,735,0.259780822,845,0.323120414
376,0.899978977,406,0.843647654,436,0.896131532,486,0.916165447,506,0.945755636,546,0.695982819,616,0.979807471,656,0.99424141,676,0.77986708,706,0.970642342,736,0.523884351,846,0.626117572
377,0.886278977,407,0.85016776,437,0.865614799,487,0.937411647,507,0.97765241,547,0.779910952,617,0.981077002,657,0.999469451,677,0.951324205,707,0.990803292,737,0.783454775,847,0.86209997
378,0.807316121,408,0.86516776,438,0.830255154,488,0.973729332,508,0.992410831,548,0.813306494,618,0.998231764,658,1,678,0.955805916,708,0.994643277,738,0.888527042,848,0.893875411
379,0.763490805,409,0.88870975,439,0.817557666,489,0.995676591,509,0.99265776,549,0.849558313,619,1,659,0.99893961,679,0.954037158,709,1,739,0.919217159,849,0.935801173
380,0.686490805,410,0.931849567,440,0.84365788,490,1,510,0.981977467,550,0.859548824,620,0.976934834,660,0.992197166,680,0.983742754,710,0.997996,740,0.933219462,850,0.963964433
381,0.643617746,411,0.964294657,441,0.878317507,491,0.994195571,511,0.982105621,551,0.869530705,621,0.942019603,661,0.978011452,681,0.998921667,711,0.984483891,741,0.946038947,851,0.964654536
382,0.614787945,412,0.969422605,442,0.905305844,492,0.972839286,512,0.99371045,552,0.897412873,622,0.918510151,662,0.969832201,682,1,712,0.954016644,742,0.965085959,852,0.935489766
383,0.630800188,413,0.955450949,443,0.915232971,493,0.944447624,513,0.999183509,553,0.927408403,623,0.924937773,663,0.970672343,683,0.976703978,713,0.831420894,743,0.985845787,853,0.923558379
384,0.72685571,414,0.956001803,444,0.93903198,494,0.91419465,514,1,554,0.932744939,624,0.947391315,664,0.976233027,684,0.82565061,714,0.552834731,744,0.999095085,854,0.936260282
385,0.843829991,415,0.979300165,445,0.953506113,495,0.879087057,515,0.99642861,555,0.923144462,625,0.958555335,665,0.989722166,685,0.515758545,715,0.195884563,745,0.999547986,855,0.965265788
386,0.900333871,416,0.990204817,446,0.935506113,496,0.863365191,516,0.990212804,556,0.936508665,626,0.947828194,666,0.995977214,686,0.153019188,716,0.04505445,746,0.990739961,856,0.989568869
387,0.957265915,417,0.999113977,447,0.917163773,497,0.873472573,517,0.974302314,557,0.969955215,627,0.917096974,667,0.971052921,687,0.032343994,717,0.009914852,747,0.988073995,857,1
388,1,418,1,448,0.897095136,498,0.863935298,518,0.959079852,558,1,628,0.84802623,668,0.890815611,688,0.003074615,718,0.0012943,748,0.988415226,858,0.999499905
389,0.973160208,419,0.982788823,449,0.89727431,499,0.733496512,519,0.858290752,559,0.967881559,629,0.696005078,669,0.710450936,689,0.000409454,719,0.000120955,749,0.997566415,859,0.989438161
390,0.775046932,420,0.955842406,450,0.954434786,500,0.585751028,520,0.543628895,560,0.899734533,630,0.520589982,670,0.480308692,690,0,720,0,750,1,860,0.986717802
391,0.572958144,421,0.924763383,451,1,501,0.534101858,521,0.242071937,561,0.829807746,631,0.364477743,671,0.276261844,691,0,721,0,751,0.991808324,861,0.987327973
392,0.371197529,422,0.631256948,452,0.908337181,502,0.401969917,522,0.074699028,562,0.76350231,632,0.17700081,672,0.122910187,692,0,722,0,752,0.960788356,862,0.991628679
393,0.185337925,423,0.201485703,453,0.637671893,503,0.081192638,523,0.03891565,563,0.762423838,633,0.047111089,673,0.053978928,693,0,723,0,753,0.904751543,863,0.986857782
394,0.041264654,424,0.041568306,454,0.307349086,504,0.016312641,524,0.029239355,564,0.805571353,634,0.010698642,674,0.026673407,694,0,724,0,754,0.783108072,864,0.972085569
395,0.008957713,425,0.013751315,455,0.064752173,505,0.003222485,525,0.022997876,565,0.626965987,635,3.11E-05,675,0.012407615,695,0,725,0,755,0.546242419,865,0.951232285
396,0.003028912,426,0.002844409,456,0.011512979,506,0.00269208,526,0.008644975,566,0.230187474,636,0,676,0.008076535,696,0,726,0,756,0.260951645,866,0.931839259
397,0.003044045,427,0.001141832,457,0.001211915,507,0.002291788,527,0.000080305,567,0.036346144,637,0.000339948,677,0.003702184,697,0,727,0,757,0.064279309,867,0.918697466
